Time,Connectivity,Reachability
124.83,0,0.22
125.00,0,0.22
125.17,0,0.22
125.33,0,0.22
125.50,0,0.22
125.67,0,0.22
125.83,0,0.22
126.00,0,0.22
126.17,0,0.22
126.33,0,0.22
126.50,0,0.22
126.67,0,0.22
126.83,0,0.22
127.00,0,0.22
127.17,0,0.22
127.33,0,0.22
127.50,0,0.22
127.67,0,0.22
127.83,0,0.22
128.00,0,0.22
128.17,0,0.22
128.33,0,0.22
128.50,0,0.22
128.67,0,0.22
128.83,0,0.22
129.00,0,0.22
129.17,0,0.22
129.33,0,0.22
129.50,0,0.22
129.67,0,0.22
129.83,0,0.22
130.00,0,0.22
130.17,0,0.22
130.33,0,0.22
130.50,0,0.22
130.67,0,0.22
130.83,0,0.22
131.00,0,0.22
131.17,0,0.22
131.33,0,0.22
131.50,0,0.22
131.67,0,0.22
131.83,0,0.22
132.00,0,0.22
132.17,0,0.22
132.33,0,0.40
132.50,0,0.40
132.67,0,0.40
132.83,0,0.40
133.00,0,0.40
133.17,0,0.40
133.33,0,0.40
133.50,0,0.40
133.67,0,0.40
133.83,0,0.40
134.00,0,0.40
134.17,0,0.40
134.33,0,0.40
134.50,0,0.40
134.67,0,0.40
134.83,0,0.40
135.00,0,0.40
135.17,0,0.40
135.33,0,0.40
135.50,0,0.40
135.67,0,0.40
135.83,0,0.40
136.00,0,0.40
136.17,0,0.40
136.33,0,0.47
136.50,0,0.47
136.67,0,0.47
136.83,0,0.47
137.00,0,0.47
137.17,0,0.47
137.33,0,0.47
137.50,0,0.47
137.67,0,0.47
137.83,0,0.47
138.00,0,0.47
138.17,0,0.47
138.33,0,0.47
138.50,0,0.47
138.67,0,0.47
138.83,0,0.47
139.00,0,0.47
139.17,0,0.47
139.33,1,1.00
139.50,1,1.00
139.67,1,1.00
139.83,1,1.00
140.00,1,1.00
140.00,1,1.00
140.17,1,1.00
140.33,1,1.00
140.50,0,0.44
140.67,0,0.44
140.83,0,0.44
141.00,0,0.44
141.17,0,0.44
141.33,0,0.44
141.50,0,0.44
141.67,0,0.44
141.83,0,0.44
142.00,0,0.44
142.17,0,0.44
142.33,0,0.44
142.50,0,0.44
142.67,0,0.44
142.83,0,0.44
143.00,0,0.44
143.17,0,0.44
143.33,0,0.44
143.50,0,0.44
143.67,0,0.44
143.83,0,0.44
144.00,0,0.44
144.17,0,0.44
144.33,0,0.44
144.50,0,0.44
144.67,0,0.44
144.83,0,0.44
145.00,0,0.44
145.17,0,0.44
145.33,0,0.44
145.50,0,0.44
145.67,0,0.44
145.83,0,0.44
146.00,0,0.44
146.17,0,0.44
146.33,0,0.44
146.50,0,0.44
146.67,0,0.44
146.83,0,0.44
147.00,0,0.44
147.17,0,0.44
147.33,0,0.44
147.50,0,0.44
147.67,0,0.44
147.83,0,0.44
148.00,0,0.44
148.17,0,0.44
148.33,0,0.44
148.50,0,0.44
148.67,0,0.44
148.83,0,0.44
149.00,0,0.44
149.17,0,0.44
149.33,0,0.44
149.50,0,0.44
149.67,0,0.44
149.83,0,0.44
150.00,0,0.44
150.17,0,0.44
150.33,0,0.44
150.50,0,0.44
150.67,0,0.44
150.83,0,0.44
151.00,0,0.44
151.17,0,0.44
151.33,0,0.44
151.50,0,0.44
151.67,0,0.44
151.83,0,0.44
152.00,0,0.44
152.17,0,0.44
152.33,0,0.44
152.50,0,0.44
152.67,0,0.44
152.83,0,0.44
153.00,0,0.44
153.17,0,0.44
153.33,0,0.44
153.50,0,0.44
153.67,0,0.44
153.83,0,0.44
154.00,0,0.44
154.17,0,0.44
154.33,0,0.44
154.50,0,0.44
154.67,0,0.44
154.83,0,0.44
155.00,0,0.44
155.17,0,0.44
155.33,0,0.44
155.50,0,0.44
155.67,1,1.00
155.83,1,1.00
156.00,1,1.00
156.17,1,1.00
156.33,1,1.00
156.50,1,1.00
156.67,1,1.00
156.83,1,1.00
157.00,1,1.00
157.17,1,1.00
157.33,1,1.00
157.50,1,1.00
157.67,1,1.00
157.83,1,1.00
158.00,1,1.00
158.17,1,1.00
158.33,1,1.00
158.50,1,1.00
