Time,Connectivity,Reachability
204.50,0,0.27
204.67,0,0.27
204.83,0,0.27
205.00,0,0.27
205.17,0,0.27
205.33,0,0.27
205.50,0,0.27
205.67,0,0.27
205.83,0,0.27
206.00,0,0.27
206.17,0,0.27
206.33,0,0.27
206.50,0,0.27
206.67,0,0.27
206.83,0,0.27
207.00,0,0.27
207.17,0,0.27
207.33,0,0.27
207.50,0,0.27
207.67,0,0.27
207.83,0,0.27
208.00,0,0.27
208.17,0,0.27
208.33,0,0.27
208.50,0,0.27
208.67,0,0.27
208.83,0,0.18
209.00,0,0.18
209.17,0,0.18
209.33,0,0.18
209.50,0,0.18
209.67,0,0.18
209.83,0,0.18
210.00,0,0.18
210.17,0,0.18
210.33,0,0.18
210.50,0,0.18
210.67,0,0.18
210.83,0,0.18
211.00,0,0.18
211.17,0,0.18
211.33,0,0.18
211.50,0,0.18
211.67,0,0.18
211.83,0,0.18
212.00,0,0.18
212.17,0,0.18
212.33,0,0.22
212.50,0,0.22
212.67,0,0.22
212.83,0,0.22
213.00,0,0.22
213.17,0,0.22
213.33,0,0.22
213.50,0,0.22
213.67,0,0.22
213.83,0,0.22
214.00,0,0.22
214.17,0,0.22
214.33,0,0.22
214.50,0,0.22
214.67,0,0.22
214.83,0,0.22
215.00,0,0.22
215.17,0,0.22
215.33,0,0.22
215.50,0,0.22
215.67,0,0.22
215.83,0,0.22
216.00,0,0.22
216.17,0,0.22
216.33,0,0.29
216.50,0,0.29
216.67,0,0.29
216.83,0,0.29
217.00,0,0.29
217.17,0,0.29
217.33,0,0.29
217.50,0,0.29
217.67,0,0.29
217.83,0,0.29
218.00,0,0.29
218.17,0,0.29
218.33,0,0.29
218.50,0,0.29
218.67,0,0.29
218.83,0,0.29
219.00,0,0.29
219.17,0,0.29
219.33,0,0.29
219.50,0,0.29
219.67,1,1.00
219.83,1,1.00
220.00,1,1.00
220.00,1,1.00
220.17,1,1.00
220.33,1,1.00
220.50,0,0.64
220.67,0,0.64
220.83,0,0.29
221.00,0,0.29
221.17,0,0.29
221.33,0,0.29
221.50,0,0.29
221.67,0,0.29
221.83,0,0.29
222.00,0,0.29
222.17,0,0.29
222.33,0,0.29
222.50,0,0.29
222.67,0,0.29
222.83,0,0.29
223.00,0,0.29
223.17,0,0.29
223.33,0,0.29
223.50,0,0.29
223.67,0,0.29
223.83,0,0.29
224.00,0,0.29
224.17,0,0.29
224.33,0,0.22
224.50,0,0.22
224.67,0,0.22
224.83,0,0.22
225.00,0,0.22
225.17,0,0.22
225.33,0,0.22
225.50,0,0.22
225.67,0,0.22
225.83,0,0.22
226.00,0,0.22
226.17,0,0.22
226.33,0,0.22
226.50,0,0.22
226.67,0,0.22
226.83,0,0.22
227.00,0,0.22
227.17,0,0.22
227.33,0,0.22
227.50,0,0.22
227.67,0,0.22
227.83,0,0.22
228.00,0,0.22
228.17,0,0.22
228.33,0,0.22
228.50,0,0.22
228.67,0,0.22
228.83,0,0.22
229.00,0,0.22
229.17,0,0.22
229.33,0,0.22
229.50,0,0.22
229.67,0,0.22
229.83,0,0.22
